Employee_ID,Retain_Indicator,Sex_Indicator,Relocation_Indicator,Marital_Status,,,,,,,
1,0,1,1,1,,,,,,,
2,0,0,0,1,,,,,,,
3,1,1,0,0,,,,,,,
4,0,1,0,1,,,,,,,
5,1,1,1,0,,,,,,,
6,0,0,1,1,,,,,,,
7,1,1,0,0,,,,,,,
8,1,1,1,0,,,,,,,
9,0,1,1,1,,,,,,,
10,0,1,0,0,,,,,,,
11,1,0,0,1,,,,,,,
12,0,0,0,0,,,,,,,
13,0,1,0,1,,,,,,,
14,1,1,1,0,,,,,,,
15,0,0,1,0,,,,,,,
16,1,1,0,0,,,,,,,
17,0,0,1,1,,,,,,,
18,1,0,1,1,,,,,,,
19,0,0,1,1,,,,,,,
20,1,1,1,1,,,,,,,
21,0,0,0,0,,,,,,,
22,0,0,0,1,,,,,,,
23,0,1,1,0,,,,,,,
24,0,1,1,0,,,,,,,
25,1,1,0,0,,,,,,,
26,0,1,0,0,,,,,,,
27,0,0,0,1,,,,,,,
28,1,1,1,1,,,,,,,
29,1,1,0,1,,,,,,,
30,1,0,0,0,,,,,,,
31,1,0,1,0,,,,,,,
32,1,0,0,0,,,,,,,
33,0,1,0,0,,,,,,,
34,1,0,1,0,,,,,,,
35,1,0,0,1,,,,,,,
36,0,1,1,0,,,,,,,
37,1,0,1,1,,,,,,,
38,1,1,1,1,,,,,,,
39,1,0,0,0,,,,,,,
40,1,1,1,0,,,,,,,
41,1,1,0,0,,,,,,,
42,1,1,0,0,,,,,,,
43,0,1,0,0,,,,,,,
44,1,1,1,1,,,,,,,
45,1,1,1,0,,,,,,,
46,0,0,0,0,,,,,,,
47,1,1,1,1,,,,,,,
48,0,0,0,1,,,,,,,
49,1,0,0,0,,,,,,,
50,1,0,1,0,,,,,,,
